Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Product rating count (product.metafields.reviews.rating_count),Box type (product.metafields.shopify.box-type),Color (product.metafields.shopify.color-pattern),Features (product.metafields.shopify.features),Item condition (product.metafields.shopify.item-condition),Item material (product.metafields.shopify.item-material),Manufacturer type (product.metafields.shopify.manufacturer-type),Material (product.metafields.shopify.material),Vehicle drive/handling features (product.metafields.shopify.vehicle-drive-handling-features),Vehicle type (product.metafields.shopify.vehicle-type),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
pbcc001s,Chevrolet Colorado (2023-Current) Pro Bed System,"<p>This Pro Bed System is specifically designed to fit the Chevrolet Colorado load bed. This System provides the frame to customize your Load Bed storage configuration. Secures Pro Bed accessories, PBAC001, PBAC002 and a PBAC006 and is designed to mount a full Roof Rack and to haul more gear above it. Secures to the load bed of the Chevrolet Colorado with specific mounting brackets. Drilling is required to for fitment. Made of a combination of steel and aluminium, sealed in the same durable and corrosion resistant black powder-coating as Front Runner racks. The Pro Bed System have integrated hooks for more accessories such as the PBAC004. For further information on installation, please see the fitment instructions in the INSTALL tab.</p>",Front Runner,Sporting Goods > Outdoor Recreation > Camping & Hiking,Racks,"15% OFF DEALS, Default, PRO BED RACKS, Rack Systems, RACKS, Roof Racks",true,Title,Default Title,,,,,,,,PBCC001S,54000.0,,0,deny,manual,10100.00,,true,true,,,,,'6009542279213,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/pbcc001s_03.jpg?v=1771847946,1,"",false,,,1013,,adult,,new,,,,,,,,,,,,,,,,,,,,,,,kg,,10100.00,active
pbcc001s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/pbcc001s_02.jpg?v=1771847946,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pbcc001s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/pbcc001s_01.jpg?v=1771847945,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pbcc001s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/pbcc001s_04.jpg?v=1771847946,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pbcc001s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/pbcc001s_10.jpg?v=1771847946,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pbcc001s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/pbcc001s_09.jpg?v=1771847946,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pbcc001s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/pbcc001s_07.jpg?v=1771847945,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pbcc001s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/pbcc001s_08.jpg?v=1771847946,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksft002,Ford Transit Custom SWB (2023-Current) / Volkswagen T7 Transporter/Caravelle (2025-Current) Slimsport Tray,"<p>This low-profile flat deck Slimsport Tray has a load-carrying area of 2670mm (105'') x 1345mm (53'').   The sleek side rails have integrated mounting feet. Mounting feet also have additional brace brackets for added strength. The high-strength aluminum slats have top and bottom T-slots suitable for all Front Runner Dometic top mount accessories. Add, RRAC364, a standard full fairing (sold separately) with rubber edge trim, making the rack ultra-quiet. Need a lightbar? Add the RRAC365 a has a 40'' cutout to allow use of LIGH213BP (sold separately). Fitment guide and all mounting hardware included. Note: No drilling required for installation. Note: Under Rack Tables and some side mount accessories such as JADA010 and RRAC103 are not compatible with the Slimsport Tray range. All Front Runner Dometic Racks are backed by a Limited Lifetime Warranty*</p>",Front Runner,Sporting Goods > Outdoor Recreation > Camping & Hiking,Racks,Roof Racks,true,Title,Default Title,,,,,,,,KSFT002,46100.0,,0,deny,manual,15899.00,,true,true,,,,,'6009542281674,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/ksft002-1.jpg?v=1771847948,1,"",false,,,1013,,adult,,new,,,,,,,,,,,,,,,,,,,,,,,kg,,15899.00,active
ksft002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/ksft002-2.jpg?v=1771847948,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksft002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/ksft002-3.jpg?v=1771847948,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksft002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/ksft002-4.jpg?v=1771847948,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ksft002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/ksft002-5.jpg?v=1771847948,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsli041,Fridge Slide and Cage Combo / Medium,"<p>A Fridge Slide and Cage Combo / Medium that create a complete protective cove around your Dometic CFX3 55 / CFX5 55 Electric Cooler or Dometic CFX3 55IM / CFX5 55IM Electric Cooler*.  Mountable to any flat surface, such as the rear loading area of a SUV or pickup truck beds. The Fridge Cage has 3 (three) adjustable height settings to accommodate various makes of fridges. The Fridge Cage, when assembled on the lowest height setting, accommodates the full operations of the Dometic CFX3 55 / CFX5 55 Electric Cooler or Dometic CFX3 55IM / CFX5 55IM Electric Cooler*.  The Fridge Cage is designed with Molle pattern sides to mount smaller items directly onto the fridge cage. Includes 2 (two) sets of RRAC012 at the top of the fridge cage to strap down cargo, such as 2 (two) Wolf Pack Pro boxes with STRA034*. The slide-out extension gives you an additional 470mm/18.5'' x 325mm/12.8'' work surface and extend nearly 100% from the anchored base.   Slide mounting holes are predrilled. The Fridge Slide features a hold open mechanism to prevent the slider from closing when the vehicle is parked on uneven surfaces. A latching arm securely locks the sliding drawer in the closed position. Finished in the same durable weather-resistant black powder coating as the Front Runner Dometic Roof Racks. Four (4) STRA063 are included to secure your fridge to the fridge slide. Mounting hardware included for wood and metal surfaces.Note: The Fridge and Stratchits are not included when purchasing the Fridge Slide and Cage Combo / Medium. These products are sold separately.</p>",Front Runner,Sporting Goods > Outdoor Recreation > Camping & Hiking,Storage,Fridge & Cargo Sliders,true,Title,Default Title,,,,,,,,FSLI041,46000.0,,0,deny,manual,11135.00,,true,true,,,,,'6009542281230,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/fsli041-g-1.jpg?v=1771847950,1,"",false,,,1013,,adult,,new,,,,,,,,,,,,,,,,,,,,,,,kg,,11135.00,active
fsli041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/fsli041-g-2.jpg?v=1771847951,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsli041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/fsli041-g-4.jpg?v=1771847950,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsli041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/fsli041_0_2.jpg?v=1771847950,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsli041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/fsli041_0_4.jpg?v=1771847950,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsli041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/fsli041_0_3.jpg?v=1771847950,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsli041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/fsli041_0_1.jpg?v=1771847950,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsli041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/fsli041_0_5.jpg?v=1771847950,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krca093t,Snugtop Canopy Slimline II Rack Kit / Full Size Pickup 8' Bed,<p>This kit creates a full-size rack on a Snugtop Canopy. This Slimline II cargo carrying rack kit contains the Slimline II tray (1425mm x 2166mm) and 8 mounting feet that fit into the supplied tracks. The track can be easily mounted to your Snugtop Canopy. See the track installation instructions in the INSTALL tab for further details. All Front Runner Rack Kits contain installation instructions as well as all the components needed to mount the Slimline II Tray to your vehicle. All Front Runner Racks are backed by a Limited Lifetime Warranty*</p>,Front Runner,Sporting Goods > Outdoor Recreation > Camping & Hiking,Racks,"15% OFF DEALS, CANOPY RACK KITS, Canopy/Cap/Trailer Racks, Default, Rack Systems, RACKS",true,Title,Default Title,,,,,,,,KRCA093T,44000.0,,0,deny,manual,18068.00,,true,true,,,,,'6009542268330,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/krca093t_4cgen__1.jpg?v=1771847953,1,"",false,,,1013,,adult,,new,,,,,,,,,,,,,,,,,,,,,,,kg,,18068.00,active
krca093t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/krca093t_4cgen__3.jpg?v=1771847953,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krca093t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/krca093t_4cgen__2.jpg?v=1771847953,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krca093t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/trailer-5_1_31094.jpg?v=1771847953,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krca093t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/krca093t_gen_1.jpg?v=1771847953,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krca093t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/krca093t_gen_2.jpg?v=1771847953,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krca093t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/krca093t_04.jpg?v=1771847953,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krca093t,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/krca093t_5.jpg?v=1771847953,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsli040,Fridge Slide and Cage Combo / Small,"<p>A Fridge Slide and Cage Combo / Small that create a complete protective cove around your Dometic CFX3 35 / Dometic CFX5 35 or Dometic CFX3 45 / Dometic CFX5 45* This Fridge Slide and Cage Combo ensures packed cargo remains in place and free from the rear of the fridge slide when sliding the fridge out. Mountable to any flat surface, such as the rear loading area of a SUV or pickup truck beds. The Fridge Cage has 3 (three) adjustable height settings to accommodate various makes of fridges. This Fridge Cage / Small, when assembled on the lowest height setting, accommodates the full operations of the Dometic CFX3 35 / Dometic CFX5 35 or Dometic CFX3 45 / Dometic CFX5 45* The Fridge Cage is designed with Molle pattern sides to mount smaller items directly onto the fridge cage. Includes 2 (two) sets of RRAC012 at the top of the fridge cage to strap down cargo, such as 2 (two) Wolf Pack Pro boxes with STRA034*. The slide-out extension gives you an additional 425mm/16.7'' x 277mm/10.9'' work surface and extend nearly 100% from the anchored base.   Slide mounting holes are predrilled. The Fridge Slide features a hold open mechanism to prevent the slider from closing when the vehicle is parked on uneven surfaces. A latching arm securely locks the sliding drawer in the closed position. Finished in the same durable weather-resistant black powder coating as the Front Runner Dometic Roof Racks. Four (4) STRA063 are included to secure your fridge to the fridge slide. Mounting hardware included for wood and metal surfaces.Note: The Fridge and Stratchits are not included when purchasing the Fridge Slide and Cage Combo / Small. These products are sold separately.</p>",Front Runner,Sporting Goods > Outdoor Recreation > Camping & Hiking,Storage,Fridge & Cargo Sliders,true,Title,Default Title,,,,,,,,FSLI040,42000.0,,0,deny,manual,10235.00,,true,true,,,,,'6009542281209,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/fsli040-g-1.jpg?v=1771847954,1,"",false,,,1013,,adult,,new,,,,,,,,,,,,,,,,,,,,,,,kg,,10235.00,active
fsli040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/fsli040-g-2.jpg?v=1771847955,2,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsli040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/fsli040-g-3.jpg?v=1771847955,3,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsli040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/fsli040_06_2__1.jpg?v=1771847955,4,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsli040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/fsli040_06_4__1.jpg?v=1771847955,5,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsli040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/fsli040_06_3__1.jpg?v=1771847955,6,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsli040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/fsli040_06_1__1.jpg?v=1771847955,7,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fsli040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/fsli040_06_5__1.jpg?v=1771847955,8,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kstf006t,Toyota Fortuner (2016-Current) Slimsport Roof Rack Kit,"<p>This low-profile flat deck Slimsport rack has a load-carrying area of 2050mm (80.7'') L x 1176mm (46.3'') W. The sleek side rails have integrated mounting feet. The mounting feet also have additional brace brackets for added strength. The high-strength aluminum slats have T-slots suitable for all Front Runner Dometic top mount accessories. Easily add on the RRAC182 for most Front Runner Dometic side mount accessories (sold separately). The included standard full fairing with rubber edge trim, makes the rack ultra-quiet. Need a light bar? The optional light bar fairing RRAC376 (sold separately) has a 40'' cutout to allow use of LIGH213 (sold separately). Fitment guide and all mounting hardware included. Note: No drilling required for installation. Note: Under Rack Tables and some side mount accessories such as JADA010 and RRAC103 are not compatible with the Slimsport Tray range. All Front Runner Dometic Racks are backed by a Limited Lifetime Warranty*</p>",Front Runner,Sporting Goods > Outdoor Recreation > Camping & Hiking,Racks,Roof Racks,true,Title,Default Title,,,,,,,,KSTF006T,37000.0,,0,deny,manual,12785.00,,true,true,,,,,'6009542279435,https://cdn.shopify.com/s/files/1/0665/7887/4670/files/kstf006t-1.jpg?v=1771847956,1,"",false,,,1013,,adult,,new,,,,,,,,,,,,,,,,,,,,,,,kg,,12785.00,active
